bgg_id,name,comment
433339,6 nimmt! Baron Oxx,
437261,MicroMacro: Kids – Crazy City Park,
450175,Hitster Rock: Bob!,
438478,echoes: Die Titanic-Affäre,
452346,Hitster: Celebration,
440608,Hitster: 100% NL,
433382,The Sandcastles of Burgundy,
435930,That's Not a Hat: Incognito,
437214,EXIT: The Game – Adventures on Catan,
437306,Parks (Second Edition),
448043,Steam Power: Deluxe Edition,
445019,EXIT: The Game – The Circus Mystery,
420033,Vantage,
448291,Unlock!: Short Adventures – The Song of the Sea Spray,
415843,Puerto Rico 1897: Special Edition,
385765,skitter,
431548,QUIZehn: Allgemeinwissen,
425236,Point of View: Spooky Festival,
433338,Schatz des Phönix,
437938,Top Ten Adventures,follow-up to Top Ten
448686,Test de Tijd,no German release
431305,Great Western Trail: El Paso,2025 Jahrgang
351849,Chang'an,no German release
391752,Steam Power,no retail release
413784,Lucky Xmas,no German release
373667,House of Fado,2025 Jahrgang
436047,For One: Mensch ärgere Dich nicht,2025 Jahrgang
436129,Strawberry Shortcake: Berry Besties Bakeoff Card Game,no German release
350204,Portals & Champions,no German release
437974,Die Legenden von Andor: Das ferne Land,Andor franchise (KSdJ 2013)
412963,Regicide Legacy,no German release
445020,EXIT: The Game – Advent Calendar: The Magic of Christmas,EXIT series
449213,EXIT: The Game – Kids: The Great Bee-scape,EXIT series
458805,Unlock!: Short Adventures – The Ocean's Heart,Unlock! series
464697,Unlock!: Short Adventures – The Ascent,Unlock! series
455101,Unlock!: Enchanted Adventures,Unlock! series
440919,Hitster: 100% en Español,Hitster series
446950,echoes tatort: Der Geisterseher,echoes series
449154,MicroMacro: Kids – Crazy City Park: Silenced,MicroMacro series
