bgg_id,name,udo_bartsch,johanna_france,tobias_franke,manuel_fritsch,martina_fuchs,karsten_grosser,maren_hoffmann,stephan_kessler,tim_koch,michaela_poignee,christoph_schlewinski,harald_schrapers,nico_wagner,julia_zerlik
446497,Hot Streak,,,,,,,,,,,,,,
456440,Cozy Stickerville,reizvoll,,,,,,,,,,,,,
436217,The Lord of the Rings: Fate of the Fellowship,außerordentlich,,,,,,,,,,,,,
400495,JinxO,,,,,,,,,,,,,,
454672,Boss Fighters QR,,,,,,,,,,,,,,
425549,Moon Colony Bloodbath,,,,,,,,,,,6,,,
432709,Severton,,,,,,,,,,,,,,
447002,Sanibel,,,,,,,,,,,7,,,
436215,The Hobbit: There & Back Again,7,,,,,,,,,,,,,
437099,Kilia,,,,,,,,,,,7,,,
453565,Schmetterlinge schätzen,,,,,,,,,,,,,,
423787,Behind,,8,,,,,6,6,,,7,,,
410722,Dark Romance,,,,,,,6,6,,,,,,
380189,Le Grand Voyage,5,6,,,,,,,,,,,,
427886,Fossilium,,7,,,,,8,,,,,,,
431493,Forestry,6,,,,,,7,,,,6,,,
358737,Leviathan Wilds,,,,,,,,,,,,,,
451246,Cultivo,,,,,,,,,,,,,,
401325,The Witcher: Path of Destiny,,,,,,,,,,,,,,
437581,La Cuenta,,,,,,,,,,,,,,
451924,Biddle,6,6,,,,,,,,,6,,,
454241,Clear 4,6,7,,,,,,,,,,8,,
443829,Wriggle Roulette,,,,,,,,,,,,,,
447174,A Wild Venture,,7,,,,,9,,,,,,,
